PING 10.10.0.1 (10.10.0.1) 56(84) bytes of data.
64 bytes from 10.10.0.1: icmp_seq=1 ttl=64 time=16.7 ms
64 bytes from 10.10.0.1: icmp_seq=2 ttl=64 time=18.5 ms
64 bytes from 10.10.0.1: icmp_seq=3 ttl=64 time=16.9 ms
64 bytes from 10.10.0.1: icmp_seq=4 ttl=64 time=19.9 ms
64 bytes from 10.10.0.1: icmp_seq=5 ttl=64 time=31.3 ms
64 bytes from 10.10.0.1: icmp_seq=6 ttl=64 time=20.7 ms
64 bytes from 10.10.0.1: icmp_seq=7 ttl=64 time=26.4 ms
64 bytes from 10.10.0.1: icmp_seq=8 ttl=64 time=17.3 ms
64 bytes from 10.10.0.1: icmp_seq=9 ttl=64 time=21.4 ms
64 bytes from 10.10.0.1: icmp_seq=10 ttl=64 time=21.6 ms
64 bytes from 10.10.0.1: icmp_seq=11 ttl=64 time=28.0 ms
64 bytes from 10.10.0.1: icmp_seq=12 ttl=64 time=20.7 ms
64 bytes from 10.10.0.1: icmp_seq=13 ttl=64 time=29.2 ms
64 bytes from 10.10.0.1: icmp_seq=14 ttl=64 time=20.7 ms
64 bytes from 10.10.0.1: icmp_seq=15 ttl=64 time=23.6 ms
64 bytes from 10.10.0.1: icmp_seq=16 ttl=64 time=24.4 ms
64 bytes from 10.10.0.1: icmp_seq=17 ttl=64 time=23.7 ms
64 bytes from 10.10.0.1: icmp_seq=18 ttl=64 time=31.5 ms
64 bytes from 10.10.0.1: icmp_seq=19 ttl=64 time=34.2 ms
64 bytes from 10.10.0.1: icmp_seq=20 ttl=64 time=20.6 ms
64 bytes from 10.10.0.1: icmp_seq=21 ttl=64 time=20.1 ms
64 bytes from 10.10.0.1: icmp_seq=22 ttl=64 time=19.9 ms
64 bytes from 10.10.0.1: icmp_seq=23 ttl=64 time=19.7 ms
64 bytes from 10.10.0.1: icmp_seq=24 ttl=64 time=18.2 ms
64 bytes from 10.10.0.1: icmp_seq=25 ttl=64 time=28.8 ms
64 bytes from 10.10.0.1: icmp_seq=26 ttl=64 time=16.2 ms
64 bytes from 10.10.0.1: icmp_seq=27 ttl=64 time=131 ms
64 bytes from 10.10.0.1: icmp_seq=28 ttl=64 time=42.1 ms
64 bytes from 10.10.0.1: icmp_seq=29 ttl=64 time=48.4 ms
64 bytes from 10.10.0.1: icmp_seq=30 ttl=64 time=16.2 ms
64 bytes from 10.10.0.1: icmp_seq=31 ttl=64 time=61.1 ms
64 bytes from 10.10.0.1: icmp_seq=32 ttl=64 time=41.2 ms
64 bytes from 10.10.0.1: icmp_seq=33 ttl=64 time=67.4 ms
64 bytes from 10.10.0.1: icmp_seq=34 ttl=64 time=24.0 ms
64 bytes from 10.10.0.1: icmp_seq=35 ttl=64 time=21.9 ms
64 bytes from 10.10.0.1: icmp_seq=36 ttl=64 time=28.2 ms
64 bytes from 10.10.0.1: icmp_seq=37 ttl=64 time=29.3 ms
64 bytes from 10.10.0.1: icmp_seq=38 ttl=64 time=34.3 ms
64 bytes from 10.10.0.1: icmp_seq=39 ttl=64 time=54.9 ms
64 bytes from 10.10.0.1: icmp_seq=40 ttl=64 time=64.8 ms
64 bytes from 10.10.0.1: icmp_seq=41 ttl=64 time=27.1 ms
64 bytes from 10.10.0.1: icmp_seq=42 ttl=64 time=31.6 ms
64 bytes from 10.10.0.1: icmp_seq=43 ttl=64 time=36.9 ms
64 bytes from 10.10.0.1: icmp_seq=44 ttl=64 time=25.5 ms
64 bytes from 10.10.0.1: icmp_seq=45 ttl=64 time=45.6 ms
64 bytes from 10.10.0.1: icmp_seq=46 ttl=64 time=26.7 ms
64 bytes from 10.10.0.1: icmp_seq=47 ttl=64 time=50.8 ms
64 bytes from 10.10.0.1: icmp_seq=48 ttl=64 time=35.1 ms
64 bytes from 10.10.0.1: icmp_seq=49 ttl=64 time=62.4 ms
64 bytes from 10.10.0.1: icmp_seq=50 ttl=64 time=39.9 ms

--- 10.10.0.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 15788ms
rtt min/avg/max/mdev = 16.219/32.736/131.399/19.487 ms

