PING 10.10.0.1 (10.10.0.1) 56(84) bytes of data.
64 bytes from 10.10.0.1: icmp_seq=1 ttl=64 time=16.9 ms
64 bytes from 10.10.0.1: icmp_seq=2 ttl=64 time=66.0 ms
64 bytes from 10.10.0.1: icmp_seq=3 ttl=64 time=41.2 ms
64 bytes from 10.10.0.1: icmp_seq=4 ttl=64 time=91.2 ms
64 bytes from 10.10.0.1: icmp_seq=5 ttl=64 time=71.8 ms
64 bytes from 10.10.0.1: icmp_seq=6 ttl=64 time=34.2 ms
64 bytes from 10.10.0.1: icmp_seq=7 ttl=64 time=18.7 ms
64 bytes from 10.10.0.1: icmp_seq=8 ttl=64 time=24.4 ms
64 bytes from 10.10.0.1: icmp_seq=9 ttl=64 time=33.6 ms
64 bytes from 10.10.0.1: icmp_seq=10 ttl=64 time=72.7 ms
64 bytes from 10.10.0.1: icmp_seq=11 ttl=64 time=19.2 ms
64 bytes from 10.10.0.1: icmp_seq=12 ttl=64 time=26.4 ms
64 bytes from 10.10.0.1: icmp_seq=13 ttl=64 time=18.5 ms
64 bytes from 10.10.0.1: icmp_seq=14 ttl=64 time=22.6 ms
64 bytes from 10.10.0.1: icmp_seq=15 ttl=64 time=78.3 ms
64 bytes from 10.10.0.1: icmp_seq=16 ttl=64 time=35.2 ms
64 bytes from 10.10.0.1: icmp_seq=17 ttl=64 time=16.0 ms
64 bytes from 10.10.0.1: icmp_seq=18 ttl=64 time=45.6 ms
64 bytes from 10.10.0.1: icmp_seq=19 ttl=64 time=25.3 ms
64 bytes from 10.10.0.1: icmp_seq=20 ttl=64 time=38.9 ms
64 bytes from 10.10.0.1: icmp_seq=21 ttl=64 time=23.6 ms
64 bytes from 10.10.0.1: icmp_seq=22 ttl=64 time=20.9 ms
64 bytes from 10.10.0.1: icmp_seq=23 ttl=64 time=35.8 ms
64 bytes from 10.10.0.1: icmp_seq=24 ttl=64 time=28.9 ms
64 bytes from 10.10.0.1: icmp_seq=25 ttl=64 time=43.5 ms
64 bytes from 10.10.0.1: icmp_seq=26 ttl=64 time=25.4 ms
64 bytes from 10.10.0.1: icmp_seq=27 ttl=64 time=20.9 ms
64 bytes from 10.10.0.1: icmp_seq=28 ttl=64 time=37.5 ms
64 bytes from 10.10.0.1: icmp_seq=29 ttl=64 time=30.0 ms
64 bytes from 10.10.0.1: icmp_seq=30 ttl=64 time=46.2 ms
64 bytes from 10.10.0.1: icmp_seq=31 ttl=64 time=31.1 ms
64 bytes from 10.10.0.1: icmp_seq=32 ttl=64 time=18.4 ms
64 bytes from 10.10.0.1: icmp_seq=33 ttl=64 time=27.5 ms
64 bytes from 10.10.0.1: icmp_seq=34 ttl=64 time=29.8 ms
64 bytes from 10.10.0.1: icmp_seq=35 ttl=64 time=24.0 ms
64 bytes from 10.10.0.1: icmp_seq=36 ttl=64 time=25.8 ms
64 bytes from 10.10.0.1: icmp_seq=37 ttl=64 time=18.7 ms
64 bytes from 10.10.0.1: icmp_seq=38 ttl=64 time=37.2 ms
64 bytes from 10.10.0.1: icmp_seq=39 ttl=64 time=19.0 ms
64 bytes from 10.10.0.1: icmp_seq=40 ttl=64 time=23.0 ms
64 bytes from 10.10.0.1: icmp_seq=41 ttl=64 time=17.3 ms
64 bytes from 10.10.0.1: icmp_seq=42 ttl=64 time=23.3 ms
64 bytes from 10.10.0.1: icmp_seq=43 ttl=64 time=18.8 ms
64 bytes from 10.10.0.1: icmp_seq=44 ttl=64 time=18.6 ms
64 bytes from 10.10.0.1: icmp_seq=45 ttl=64 time=28.8 ms
64 bytes from 10.10.0.1: icmp_seq=46 ttl=64 time=17.6 ms
64 bytes from 10.10.0.1: icmp_seq=47 ttl=64 time=28.2 ms
64 bytes from 10.10.0.1: icmp_seq=48 ttl=64 time=23.2 ms
64 bytes from 10.10.0.1: icmp_seq=49 ttl=64 time=21.5 ms
64 bytes from 10.10.0.1: icmp_seq=50 ttl=64 time=23.4 ms

--- 10.10.0.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 13300ms
rtt min/avg/max/mdev = 16.033/31.694/91.196/16.880 ms

